PID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,Cond,attencheck1,attencheck2,self-admit,taskloadeffort_1,taskloadeffort_9,taskloadeffort_10,taskloadeffort_11,taskloadeffort_12,taskloadeffort_13,taskloadeffort_14,taskloadeffort_15,taskloadeffort_16,taskloadnothing_1,taskloadnothing_9,taskloadnothing_10,taskloadnothing_11,taskloadnothing_12,taskloadnothing_13,taskloadnothing_14,taskloadnothing_15,taskloadnothing_16,nfc_1,nfc_2,nfc_3,nfc_4,nfc_5,nfc_6,nfc_7,nfc_8,nfc_9,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16,nfc_17,nfc_18,bps_1,bps_2,bps_3,bps_4,bps_5,bps_6,bps_7,bps_8,moe_1,moe_2,moe_3,moe_4,moe_5,moe_6,moe_7,moe_8,moe_9,moe_10,moe_11,moe_12,moe_13,moe_14,moe_15,moe_16,moe_17,moe_18,SDS_1,SDS_2,SDS_3,SDS_4,SDS_5,SDS_6,SDS_7,SDS_8,SDS_9,SDS_10,SDS_11,SDS_12,SDS_13,SDS_14,SDS_15
1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,Lowpay,Green,Green,No,2.94,2.78,2.59,4.81,2.56,3.54,3.29,2.26,2.61,3.85,2.07,1.9,1.44,3.01,3,2.81,3.14,2.54,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lowpay,Yellow,Blue,No,1.01,4.23,2.34,2.28,5.32,1.12,1.45,0.19,3.47,0.27,0.64,0.69,0.35,6.57,0.58,0.71,0.41,2.45,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
3,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,Lowpay,Green,Blue,No,0.95,4.13,1.09,0.31,6.52,0.35,0.99,0,0.29,0.1,7,0.1,0.09,0.94,0.12,0.22,0.21,0.14,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Strongly,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Strongly,Agree Somewhat,Somewhat agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree
4,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,Highpay,Green,Blue,No,0.5,0.7,0.5,0.58,4.26,0.92,0.38,0.23,5.02,0,3.75,0,0,7,0,0,0,1.21,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Disagree Somewhat,Neither Agree nor Disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree
5,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,Highpay,Green,Blue,No,0.48,2.99,0.35,3,7,0.44,0,0.47,0.43,0,5.26,0,0,7,0,0,0,0,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Strongly,Agree Somewhat,Disagree Strongly,Disagree Somewhat,Disagree Strongly,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Strongly,Disagree Strongly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Disagree Strongly,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree
6,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,Highpay,Green,Blue,No,1.01,2.02,0.12,1,6.11,0.14,0.13,0.91,1.75,0.32,2.47,0.11,0.16,7,0.15,0.12,0.25,0.13,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Lowpay,Green,Blue,No,0.87,0,0.8,1.88,6.14,0.86,0,0,3.92,0,6.98,0,0,7,0,0,0,0,Agree Strongly,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Strongly,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Strongly,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Strongly,Neither Agree nor Disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree
8,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,Lowpay,Green,Blue,Yes,0,1.79,0,1.76,7,0.84,0,0,0,0,7,0,0,7,0,0,0,0,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Disagree Strongly,Disagree Strongly,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Strongly,Agree Somewhat,Disagree Strongly,Agree Somewhat,Agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
9,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Highpay,Green,Blue,No,0.07,6.9,0.01,0.9,7,0.62,3.72,5.36,0.07,7,6.98,0.06,1.28,7,0.06,0.23,0.07,0.07,Agree Strongly,Agree Strongly,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Strongly,Agree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree
10,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,Highpay,Green,Blue,Yes,1.65,4.76,0.06,1.32,5.22,1.42,1.09,0.63,0.67,0.26,6.51,0.25,0.21,4.12,0.26,2.44,0.22,0.24,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Strongly,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree
