PID,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q40,Cond,attencheck1,attencheck2,self-admit,taskloadeffort_1,taskloadeffort_9,taskloadeffort_10,taskloadeffort_11,taskloadeffort_12,taskloadeffort_13,taskloadeffort_14,taskloadeffort_15,taskloadeffort_16,taskloadnothing_1,taskloadnothing_9,taskloadnothing_10,taskloadnothing_11,taskloadnothing_12,taskloadnothing_13,taskloadnothing_14,taskloadnothing_15,taskloadnothing_16,nfc_1,nfc_2,nfc_3,nfc_4,nfc_5,nfc_6,nfc_7,nfc_8,nfc_9,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16,nfc_17,nfc_18,bps_1,bps_2,bps_3,bps_4,bps_5,bps_6,bps_7,bps_8,moe_1,moe_2,moe_3,moe_4,moe_5,moe_6,moe_7,moe_8,moe_9,moe_10,moe_11,moe_12,moe_13,moe_14,moe_15,moe_16,moe_17,moe_18,SDS_1,SDS_2,SDS_3,SDS_4,SDS_5,SDS_6,SDS_7,SDS_8,SDS_9,SDS_10,SDS_11,SDS_12,SDS_13,SDS_14,SDS_15
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,Lowpay,Green,Blue,Yes,6.24,1.93,1.09,3.51,6.65,1.11,0,0.03,1.9,0.35,5.95,0,0.14,1.03,0,1.64,3.49,0.77,Disagree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Strongly,Agree Strongly,Agree Somewhat,Disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
2,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Lowpay,Green,Blue,No,2.96,0,0,1.21,6.17,1.95,0.04,0,5,0,5.57,0,0,7,0,1.88,0,0,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Strongly,Neither Agree nor Disagree,Disagree Somewhat,Disagree Strongly,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Strongly,Disagree Strongly,Agree Somewhat,Agree Somewhat,Agree Somewhat,Disagree Strongly,Disagree Strongly,Disagree Somewhat,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree
3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,Highpay,Green,Blue,No,5.71,0.35,0.53,0.74,7,3.66,0.32,0.36,7,0.1,1.95,0.25,0.16,7,0.16,0.15,0.17,7,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Strongly,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,Highpay,Green,Blue,No,2.76,1.5,2.88,0.73,7,1.1,0,0,3.42,1.04,7,0.7,0.72,7,0.54,0,0,2.03,Agree Somewhat,Agree Somewhat,Disagree Strongly,Disagree Somewhat,Disagree Strongly,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Disagree Somewhat,Agree Strongly,Agree Somewhat,Disagree Strongly,Agree Somewhat,Agree Strongly,Agree Somewhat,Agree Strongly,Disagree Strongly,Agree Somewhat,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree
5,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,Lowpay,Green,Blue,No,0,0,0,0,7,0,0,0,2.82,0,7,0,0,7,0,0,0,0,Agree Strongly,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Disagree Strongly,Disagree Somewhat,Disagree Somewhat,Agree Strongly,Agree Strongly,Disagree Strongly,Agree Somewhat,Neither agree nor disagree,Somewhat agree,Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree
6,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,Highpay,Green,Blue,No,0.85,0.92,1.65,3.18,3.07,2.08,2.98,0.89,1.98,0.79,1.98,0.78,0.8,7,0.97,0.8,0.8,0.75,Neither Agree nor Disagree,Disagree Strongly,Agree Somewhat,Agree Strongly,Neither Agree nor Disagree,Disagree Strongly,Agree Strongly,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Agree Strongly,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree
7,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,Lowpay,Green,Blue,Yes,0.17,0.17,0.23,0.2,6.86,0.16,0.11,0.23,6.14,0.17,0.23,0.16,0.2,7,0.24,0.23,0.18,6.99,Agree Strongly,Agree Strongly,Disagree Strongly,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Agree Strongly,Agree Strongly,Agree Strongly,Agree Strongly,Disagree Somewhat,Agree Strongly,Agree Somewhat,Disagree Somewhat,Disagree Strongly,Disagree Strongly,Disagree Somewhat,Somewhat agree,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree
8,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Highpay,Green,Blue,Yes,2.06,5.42,0.07,3.97,5.4,1.01,0.96,0.92,0.08,0.08,3.87,0.08,0.08,5.97,0.08,0.08,0.9,0.08,Disagree Somewhat,Agree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree
9,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,Lowpay,Yellow,Blue,Yes,3.66,6.14,0,1.94,5.73,0,0.73,2.16,0,0,0.63,0,0,5.36,0,0,0.92,0,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Disagree Strongly,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Disagree Strongly,Disagree Somewhat,Agree Strongly,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree Strongly,Agree Strongly,Agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree
10,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,Highpay,Green,Blue,No,3.51,6.15,0,0,6.62,0.82,5.04,5.07,0.78,0,7,0,0.58,7,0,0.75,0.86,0,Agree Somewhat,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,Disagree Somewhat,Neither Agree nor Disagree,Disagree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree Somewhat,Agree Somewhat,Neither Agree nor Disagree,Disagree Strongly,Agree Somewhat,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree
